PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
H527N,8/8/3k1p2/3N4/5P2/3KP1p1/8/5n2 w - - 0 55,d3e2 g3g2 e2f2 d6d5,2367,78,93,1318,advancedPawn crushing endgame knightEndgame short,https://lichess.org/WvGMnzo1#109,
WMMyk,r1bq2k1/pppp1ppp/2nn4/3N1r2/3P1Q2/1B6/PPP2PPP/R1BK3R w - - 1 13,f4g3 d6e4 g3c7 e4f2,2014,75,93,3186,crushing master middlegame short,https://lichess.org/3kPKKmFu#25,Vienna_Game Vienna_Game_Stanley_Variation
cL6Ig,1nkr4/pbp1qp2/1p2P1p1/8/1P2BP2/P1Q5/2P4P/2KR3R b - - 0 21,d8d1 h1d1 b7e4 c3h8 c8b7 d1d8,2123,76,93,917,advantage long middlegame,https://lichess.org/cJ60jiQd/black#42,
7AmW6,2rr2k1/1p2p2p/p1qpb1p1/8/n1P1P1P1/4BP2/P1PQB3/2KR3R w - - 0 22,h1h7 g8h7 d1h1 h7g8 e3d4 g8f7,2036,115,44,22,advantage defensiveMove hangingPiece long middlegame,https://lichess.org/bKkD8U5J#43,
d9HGj,8/1p2r3/p1p2kp1/3pR1p1/1P1P3p/2P1KP1P/1P4P1/8 w - - 7 40,f3f4 g5f4 e3f4 e7e5 d4e5 f6e6 f4g5 e6e5,2332,93,89,463,advantage endgame rookEndgame veryLong,https://lichess.org/Khcv42pi#79,
zhlLH,2rr2k1/pp3ppp/2q1p3/4P1b1/1PpP4/P1N2PQ1/5P1P/R4R1K b - - 10 22,d8d4 b4b5 c6c5 g3g5,2260,77,95,687,advantage middlegame short,https://lichess.org/pfvMZuY4/black#44,
CTInm,8/4Rpk1/2p1Qnpp/1p1p4/p7/1Pq4P/P5P1/6K1 b - - 7 34,c3d4 g1h1 d4a1 h1h2,2096,75,85,82,advantage defensiveMove endgame pin short,https://lichess.org/QShXLiWm/black#68,
O5ca7,3r1n1k/p6p/1p1p2p1/2pQbpqn/2P1P3/1N3P1P/P3NB1K/3R1R2 w - - 2 33,f3f4 h5f4 f2g3 f4d5,2138,118,55,17,advantage middlegame short,https://lichess.org/oDO3pdyc#65,
tGJup,8/2k2p2/6p1/7p/1P1R4/3K1PP1/8/6r1 w - - 3 55,g3g4 g1d1 d3e3 d1d4 e3d4 h5h4,1963,76,97,2243,crushing defensiveMove endgame long master rookEndgame,https://lichess.org/0AApJ4rz#109,
pO1Z1,8/8/1p1K1Pk1/pp3bP1/1P6/P7/8/8 b - - 8 53,a5b4 d6e7 b4a3 f6f7 g6h5 f7f8q,2397,94,88,666,advancedPawn bishopEndgame crushing endgame long promotion,https://lichess.org/pYutKFPB/black#106,
OxKeJ,8/8/1p1k1qn1/pPpPp3/P1P3K1/3BQ3/8/8 w - - 0 48,e3h6 e5e4 d3e4 g6e5 g4h5 f6h6,2047,77,95,638,crushing discoveredAttack endgame long,https://lichess.org/n2bwzF6K#95,
ZMR7G,8/7p/8/5pp1/3k4/5KP1/5P1P/8 w - - 0 43,g3g4 f5f4 f3e2 d4c3,2129,74,93,9463,crushing defensiveMove endgame pawnEndgame quietMove short,https://lichess.org/2c4zcVG2#85,
SRJH6,6k1/5b2/p2b3p/2QPqpp1/P1N5/2N3PP/1P3PK1/8 b - - 4 36,e5c3 c5c8 g8g7 b2c3,2043,83,90,2115,crushing endgame intermezzo master short,https://lichess.org/I16aIHJK/black#72,
WlN2m,1r2r1k1/2p2p2/p1Pq1n1p/np4p1/2p5/P1N3P1/1PQ2PBP/3RR1K1 b - - 0 20,d6c5 e1e8 b8e8 c3d5,2329,76,86,634,advantage kingsideAttack middlegame short,https://lichess.org/FRQv5cH9/black#40,
LNoi0,6k1/pp3p2/2n2p1p/8/1P3P2/P3pBP1/3qP2P/Q5K1 w - - 2 29,a1f6 c6d4 f3g4 d4e2,2213,75,83,252,advantage endgame master short,https://lichess.org/iCQotWCg#57,
IjUem,R7/5P2/4K3/8/7P/8/pk3r2/8 b - - 2 57,a2a1q a8a1 b2a1 h4h5,2117,104,74,16,advantage defensiveMove endgame short,https://lichess.org/n2XCSaaK/black#114,
Q6oiF,5rk1/p2q1ppp/5n2/2bPp1B1/1r6/2N5/PP3PPP/1R1Q1RK1 b - - 7 15,f6d5 d1d5 d7d5 c3d5,1929,86,86,32,crushing middlegame short,https://lichess.org/rNo0Baw4/black#30,Sicilian_Defense Sicilian_Defense_Open
Ed5R4,1n1k4/1R6/2nNp2p/2P1p1p1/1pNpP3/3r3P/5PP1/6K1 b - - 1 37,d3c3 d6f7 d8e8 c4d6 e8f8 f7h6 c6d8 b7b8,1934,76,84,224,advantage endgame exposedKing pin veryLong,https://lichess.org/wf1WHeCl/black#74,
